iter	Passed	Remaining
0	36	18175
1	62	15563
2	89	14831
3	116	14467
4	143	14234
5	170	14006
6	196	13822
7	225	13852
8	252	13769
9	278	13636
10	305	13571
11	332	13506
12	358	13440
13	386	13400
14	419	13558
15	446	13493
16	472	13424
17	498	13348
18	524	13278
19	551	13239
20	576	13158
21	604	13130
22	636	13198
23	661	13112
24	687	13059
25	714	13021
26	740	12971
27	766	12925
28	793	12888
29	822	12885
30	854	12923
31	881	12898
32	909	12877
33	941	12901
34	971	12906
35	998	12865
36	1022	12798
37	1048	12752
38	1073	12687
39	1099	12643
40	1128	12633
41	1153	12573
42	1182	12563
43	1207	12511
44	1233	12468
45	1255	12392
46	1283	12373
47	1306	12305
48	1331	12251
49	1359	12233
50	1384	12192
51	1412	12166
52	1438	12135
53	1465	12106
54	1490	12056
55	1521	12066
56	1552	12066
57	1582	12060
58	1613	12059
59	1644	12060
60	1671	12026
61	1697	11989
62	1723	11955
63	1750	11924
64	1776	11887
65	1801	11843
66	1829	11822
67	1854	11784
68	1880	11747
69	1908	11722
70	1932	11677
71	1958	11644
72	1986	11622
73	2012	11587
74	2041	11566
75	2067	11532
76	2093	11499
77	2121	11478
78	2147	11445
79	2173	11412
80	2199	11377
81	2226	11351
82	2253	11323
83	2279	11291
84	2306	11259
85	2334	11239
86	2360	11205
87	2387	11176
88	2413	11143
89	2441	11123
90	2468	11092
91	2492	11053
92	2518	11023
93	2545	10993
94	2570	10957
95	2596	10925
96	2622	10896
97	2645	10852
98	2672	10823
99	2697	10788
100	2729	10780
101	2760	10771
102	2791	10757
103	2821	10742
104	2853	10735
105	2881	10709
106	2908	10681
107	2935	10654
108	2961	10624
109	2986	10588
110	3013	10559
111	3039	10528
112	3064	10495
113	3092	10469
114	3118	10440
115	3145	10412
116	3170	10378
117	3196	10347
118	3224	10325
119	3251	10295
120	3278	10270
121	3304	10237
122	3329	10206
123	3356	10176
124	3382	10146
125	3408	10115
126	3435	10089
127	3461	10059
128	3487	10029
129	3519	10017
130	3551	10003
131	3580	9983
132	3611	9966
133	3642	9948
134	3668	9917
135	3694	9886
136	3721	9860
137	3748	9831
138	3776	9807
139	3802	9776
140	3828	9747
141	3855	9720
142	3880	9688
143	3908	9663
144	3934	9631
145	3959	9600
146	3987	9575
147	4013	9545
148	4039	9515
149	4067	9490
150	4093	9461
151	4122	9438
152	4149	9410
153	4176	9382
154	4201	9351
155	4227	9322
156	4253	9293
157	4279	9264
158	4306	9236
159	4333	9208
160	4355	9171
161	4381	9142
162	4408	9114
163	4432	9082
164	4458	9051
165	4483	9021
166	4510	8993
167	4535	8963
168	4563	8938
169	4590	8911
170	4612	8874
171	4640	8848
172	4665	8819
173	4693	8794
174	4717	8761
175	4743	8732
176	4771	8706
177	4798	8680
178	4826	8655
179	4858	8636
180	4888	8615
181	4912	8584
182	4938	8555
183	4962	8521
184	4986	8490
185	5013	8463
186	5041	8438
187	5066	8409
188	5096	8385
189	5127	8365
190	5159	8346
191	5190	8327
192	5221	8305
193	5248	8279
194	5278	8256
195	5309	8235
196	5340	8213
197	5370	8190
198	5400	8167
199	5426	8139
200	5456	8116
201	5486	8094
202	5521	8077
203	5555	8060
204	5583	8034
205	5616	8015
206	5646	7992
207	5678	7971
208	5708	7948
209	5739	7926
210	5767	7900
211	5795	7872
212	5827	7852
213	5858	7829
214	5884	7800
215	5909	7770
216	5935	7740
217	5961	7711
218	5986	7681
219	6014	7654
220	6039	7623
221	6064	7594
222	6090	7565
223	6116	7536
224	6142	7507
225	6169	7479
226	6197	7453
227	6224	7426
228	6249	7395
229	6274	7365
230	6301	7337
231	6326	7308
232	6353	7280
233	6378	7250
234	6403	7220
235	6429	7192
236	6455	7164
237	6482	7135
238	6509	7108
239	6536	7080
240	6563	7053
241	6590	7025
242	6615	6996
243	6641	6968
244	6665	6938
245	6693	6911
246	6719	6882
247	6745	6854
248	6769	6824
249	6796	6796
250	6825	6770
251	6853	6744
252	6879	6716
253	6904	6686
254	6932	6660
255	6958	6631
256	6987	6606
257	7015	6580
258	7045	6555
259	7076	6531
260	7105	6506
261	7137	6484
262	7168	6459
263	7201	6437
264	7229	6410
265	7257	6384
266	7281	6354
267	7306	6325
